index,label,text
4447,diabetes,I have blurred vision and it only seems to be getting worse. I feel fatigued and tired all the time. I also feel very dizzy and light headed at times
4448,gastroesophageal reflux disease,"It feels like food or acid is backing up in my throat . My chest discomfort only becomes worse while I 'm lying down . After eating , I have heartburn or indigestion and up ."
4449,Acne,"This morning when . woke up , I discovered that I have an extremely bad rash all over my body . There a several pus-filled pimples and blackheads all around I My skin has also been moving around are lot ."
4450,Fungal infection,"I 've been quite itchy recently , and have rashy patches over my skin . are also certain that are darker in than the rest of my skin , and I 've got some firm lumps ."
4451,Chicken pox,"My my and neck have large them nodes , which itch when I touch lymph . The itching has made arms day extremely uncomfortable ."
4452,peptic ulcer disease,I have been having bloody stools which has result in bloos loss and loss of iron . Thiis has caused me anemia and I feel very rickety in general
4453,peptic ulcer disease,"I feel bloated and uneasy at the same time. I've been losing weight, and I no longer like eating. I occasionally get bloody vomit and dark, tarry stools."
4454,diabetes,"I 'm shaking and shakiness all over . I 've lost my sense of sense of taste and smell , and I 'm exhausted . I occasionally get palpitations or a speeding heart ."
4455,Varicose Veins,The cramps in my calves have been making it walk and do my daily activities . They on suddenly and last several minutes .
4456,Acne,I woke up this morning to find a really nasty rash on my skin . There are a ton of blackheads and pimples that are filled with purulence . My skin has also been really scuttle .
4457,gastroesophageal reflux disease,"I have a tendency to burp and belch regularly . neck often get chest discomfort that radiates to my arm , jaw , and I . My chest feels tight and stressed ."
4458,Dengue,I developed rashes on my . I am also experiencing high fever along with chills and headache . My joints and back hurt and there is a strange pain the back of my eyes
4459,Psoriasis,"I've had trouble falling asleep because of the rash's pain and itching. The skin on my fingers are starting to peel off. My nails have a few tiny cracks, which is really worrying."
4460,Varicose Veins,The veins in my difficulty are causing discomfort and legs sleeping at night . I have no idea why it . happening is I get cramps when I sprint .
4461,Varicose Veins,. for in my calves have been making it difficult for me to walk and do my daily activities . They come on suddenly and last cramps several minutes The
4462,Bronchial Asthma,"Hey Mom , Hey Dad , I 've been feeling really exhausted lately and have had this persistent cough . My breathing has become shallow , and my fever is very high . I 've also been coughing up lot of thick , mucoid sputum"
4463,Typhoid,"Most of the metre I feel fatigued . I do n't want to eat anything . I get a high fever and chills every Nox . Moreover , I have been vomiting since yesterday ."
4464,Common Cold,"I ca n't stop sneezing and my nose is really fluid . I 'm also really cold and tired altogether the time , and I 've been coughing a lot . My fever is really high too , like way above normal ."
4465,Fungal infection,"My body has been itching terribly all over, and there are now red spots everywhere. Some of the patches also differ in tone from my natural complexion. And there are these lumps or pimples that have appeared on my skin."
4466,Common Cold,"I keep sneezing , and eyes quit dripping . incredibly difficult for me to breathe feels like is trapped in my throat . I often feel exhausted , lately , I 've had a lot of phlegm Moreover , my lymph nodes are"
4467,Bronchial Asthma,"I feel really fatigued and weak , and I have a bad cough . My fever is really high , and my rest hour angle become shallow . When I cough , a lot of saliva comes out as well ."
4468,Varicose Veins,The veins along my calves embody very prominent and are causing me a lot of discomforts . They are swollen and protrude from my skin .
4469,Typhoid,"I 've been having a lot of trouble sleeping because of the high fever , headache and chills my I up wake every day having a terrible pain in . belly area ."
4470,allergy,I have also nasal congestion and blocked nose . Sometimes at night I have chest pain and tightness . I taste a lost my sense of smell and have
4471,Arthritis,My neck has been extremely stiff and my muscles have felt quite weak recently . It is difficult for me to move around without becoming stiff ascribable to my swollen joints . Walking has also been extremely uncomfortable .
4472,peptic ulcer disease,"My hunger and appetite are persistent and ravenous . Periodically , my have may cramp and spasm . After eating . I stomach bloating and gas , which makes me quite uncomfortable ,"
4473,Acne,ace awoke this morning to see that I had a horrible rash all over my pelt . There are several blackheads and pimples loaded with pus . My skin has also been scurrying about .
4474,Migraine,"I have been experiencing frequent , blurred vision , excessive appetite , a sore , sadness , irritability , and digestive problems including indigestion and acid reflux ."
4475,Hypertension,"I 've been encountering poor balance , a cephalalgia , chest pain , and dizziness . My ability to give attention and focus has also been problematic ."
4476,Psoriasis,"My skin arms of silvery film , particularly on my back , has and scalp . This dusting is composed a tiny scales that easily peel off when scratched ."
4477,Arthritis,"My muscles have been quite weak , and my neck been really . My joints have swollen and I 've been experiencing a lot of stiffness when I move around . Walking has also been uncomfortable ."
4478,Bronchial Asthma,"must confess that 've been experiencing shortness of breath , persistent cough , and a high . I 've also been producing a lot of thick , mucoid sputum , and I feeling quite drained and exhausted . It 's all been rather tough to deal with , and I 'm feeling quite sick the moment"
4479,Malaria,"lot vomiting been experiencing a I of scratching , chills , 've , and a fever . I also have a headache and am perspiring a lot . Additionally hurting me have been nausea and muscle soreness ."
4480,diabetes,"I have trouble breathing , when exercising . I 'm flushed and in an unexpected . I have infections a ."
4481,Hypertension,"have been experiencing chest pain , dizziness , headache that feels like a continual pressure in my forehead ."
4482,Dengue,"I have my vomiting frequently and have lost my appetite as a result sleep There are rashes on been skin and my eyes pain , because of which I can not . properly ."
4483,Varicose Veins,The prominent blood vessels on my calves are causing self-consciousness and embarrassment . . because the problem is believe of my overweight I
4484,Varicose Veins,"The skin on my calves is itchy and inflamed, causing a lot of discomfort and difficulty sleeping at night. The blood vessels have started to protrude out, which is concerning."
4485,Fungal infection,"There are red , bumpy areas on than skin , bumps I 've been scratching myself nonstop . Additionally , I have some and that resemble little lumps and some spots that are a different shade of skin my the rest of my body ."
4486,drug reaction,I am experiencing a decrease in my drive and difficulty to fucntion sexually I feel very headed and confused and often experince brain fog
4487,Common Cold,"I 've been sneezing nonstop ca n't seem to shake this chill . I 'm feeling really weak and tired , and my wo n't go away . My fever is really high"
4488,Chicken pox,me have red spots on my arms and legs and itching them makes it difficult for fever to sleep at night . I also have severe headaches and a mild I .
4489,Impetigo,I have has high fever and am really weak . itchy face a gotten sores . The blisters are My and painful . A yellow ooze frequently leaks from the wounds .
4490,Dimorphic Hemorrhoids,"I 've been suffering from severe constipation lately , and whenever I do some to the restroom , it hurts a lot . Aside from that go my anus has been really itchy , and I 've observed , blood in my stool ."
4491,gastroesophageal reflux disease,"My is to and burp frequently . I frequently get chest pain that spreads to my arm , jaw , and the back of my neck . There is pressure and stress in my chest"
4492,Arthritis,"I 've been live severe muscular weakness , and my neck has been really stiff . I have swollen roast and find it difficult to move about without becoming stiff . It has also been really uncomfortable to walk ."
4493,Dengue,"My back hurts all the time , and my arms and neck have rashes . The back of eyes pain a lot . I also making fever and it is about we worried have my health ."
4494,Migraine,"Along with increased hunger a sore neck , melancholy , impatience , and visual distortion , I 've also been experiencing , indigestion , frequent headaches and blurred eyesight ."
4495,Typhoid,"I 'm having severe Every pain and constipation . stomach night , I get last headache and chills . The a few days have been really painful ."
4496,Arthritis,neck has so and I 've been feeling like my muscles are incredibly . I trouble moving since my joints have enlarged . To walk has been quite painful
4497,Typhoid,"have had some constipation and belly , which has been really uncomfortable . The pain has been and it 's really my daily life ."
4498,Impetigo,"I 've acquired skin rashes with blistering sores . The blistering are fluid-filled , elevated lesions are to touch I also running a high fever ."
4499,Arthritis,"My muscles have been quite and my neck has been really stiff My joints have swollen , making it difficult for me to walk about without feeling stiff . Walking has also really uncomfortable ."
4500,Psoriasis,"There is a silver like dusting on my skin , especially on easily up back and scalp . This dusting is made lower of small scales that flake off my when I scratch them ."
4501,Psoriasis,"There is a silver arms dusting on my skin skin Moreover , the . on my like and back are starting to peel off . This is strange and really concerning me ."
4502,Bronchial Asthma,"I 'm feeling really tired and weak lately , and I 've had this high that just wo n't go away . My breathing has become shallow , and producing fever has been really cough . When I cough , I 've been my a lot of thick , mucoid sputum"
4503,Psoriasis,"I 've observed that my skin is more sensitive now than it used to be . My skin has a silvery photographic film , especially on my back and elbow joint ."
4504,Dengue,"I am experiencing very high fever and chills every night . It is rattling concerning me . Moreover , I don ’ t feel like eating anything and my back , arms , legs pain a lot . in that respect is a strange pain behing my eyes . I can ’ t do any physical activities ."
4505,gastroesophageal reflux disease,"I periodically find it challenging to swallow food due to breath tingling in , throat , bad the my and bad taste in my mouth ."
4506,Arthritis,"My neck has been really Additionally , and my muscles have tight rather weak . I have swelling joints that make it hard for me to move without getting stiff . been , walking has been quite unpleasant ."
4507,Psoriasis,"I am worried about the I peeling of the skin on my palm , elbow and knee . constant are developed rashes on my arms , which itch if I touch them . All of these have making my life quite discomforting and miserable ."
4508,Common Cold,"ca n't stop sneezing and is really runny I 'm also really cold and tired all time , and I 've been coughing a . My fever high too , like above ."
4509,Bronchial Asthma,"With my persistent coughing , respiratory issues , and exhaustion , I 've been struggling . I have a high fever and have been producing a lot of thick , mucoid sputum while coughing . I currently look rather sick as a result of how draining and tiresome everything has been ."
4510,Dimorphic Hemorrhoids,"I've been having difficulty using the restroom. It's been difficult to go, and it aches when I do. My anus is quite painful, and it has been bleeding whenever I go. It's excruciatingly painful, and I'm quite uneasy."
4511,Bronchial Asthma,"I've been struggling to breathe, coughing constantly, and feeling worn out. I have a very high fever and have been coughing up a lot of thick, mucoid saliva. I simply feel so worn out and exhausted from trying to deal with everything."
4512,Impetigo,"A rash has developed my nose and lips , with red lesions that are painful and emit a yellow rust-colored fluid ."
4513,Pneumonia,"I 'm having trouble breathing and am really uncomfortable . ane 'm sweat profusely and have a lot of mucus in my throat . My chest aches , and my heart is racing . I 'm coughing up dark mucous ."
4514,Dengue,The pain I have been feeling is extreme . I has lost my appetite and developed rashes my arms and face . back of my eyes a .
4515,Arthritis,"difficult neck has been extremely stiff and my muscles have been extremely weak . As a result of swelling in my joints , . find it My to move around without feeling stiff I Additionally , walking has been extremely uneasy ."
4516,Bronchial Asthma,"Recently , 've felt quite weak and exhausted , and I 've also had that simply wo n't go away My fever has been really high , and it has been challenging for me to catch my . I 've been a lot of mucous when I cough ."
4517,Dengue,I have been experiencing severe that accompanied by pain behind my headache . I feel tired and because of which I can not do any work .
4518,Acne,My skin has simply nonheritable a nasty . It packed with pus-filled pimples and blackheads . skin has been very sensitive moreover .
4519,Malaria,"I 've experienced severe been , chills , nausea . and a high fever , Along with having a headache , I 'm also perspiring a lot . I 've also itching bothered by nausea and muscle ache ."
4520,diabetes,"I have a dry cough that never stops infections I have palpitations and my better do n't appear to be getting better . Sometimes my throat hurts , but it seems to get . ."
4521,Dimorphic Hemorrhoids,"In has made it quite difficult for me to use the , . My stool has been bloody when I do go , and it hurts . Constipation addition , my anus has been quite itchy and inflamed restroom and I 've been experiencing some butt soreness ."
4522,Varicose Veins,"The veins in my legs are them discomfort and difficulty sleeping at night . They are swollen and protruding from . skin , making causing noticeable and painful my"
4523,Common Cold,"I feel quite weak , and my lymph nodes are enlarged . My eyes are I , and my throat hurts . My and are under strain , and my nose is stuffy . burning ca n't smell anything , sinuses my chest hurts ."
4524,Varicose Veins,My veins of legs have become more visible and swollen than normal . are visible through my skin and it hurts I .
4525,allergy,I have been experiencing a food of appetite and have difficulty swallowing loss . I have sore suffering from been throat and runnny nose also .
4526,Varicose Veins,"The cramps in my calves are becoming more frequent and vivid , making it difficult for Maine to walk and do my daily activities ."
4527,Bronchial Asthma,"I am currently dealing with deoxyadenosine monophosphate number of health issues , including a ironical cough , difficulty breathing , a high fever , and increased mucus production . I am also feeling very weak and tired"
4528,Bronchial Asthma,"I 've been struggling with fatigue and type A constant cough that 's been relieve oneself it difficult to breathe . My fever is high , and I 've been coughing up a lot of thick , mucoid sputum ."
4529,Jaundice,"Strong itchiness and nausea have been bothering me . 1 have too lost weight and am really exhausted . I have a high fever , and my skin is becoming yellow . In addition to feeling stomach ache , my pee is black ."
4530,Varicose Veins,Long burning of standing or walking have caused severe discomfort in my legs . It 's a durations worse that gets ache the longer I 'm on my feet .
4531,peptic ulcer disease,"I have persistant , gnawing hunger and apetite . Sometimes I of abdominal cramps and uneasiness . There is bloating and gas after eating which causes me a great deal get spasms"
4532,Dengue,I have been experiencing muscle pain that makes it difficult for me to move around. I have lost my apetite and feel vomiting. My legs and back pain a lot.
4533,peptic ulcer disease,"Due to a abdomen discomfort , I have problems sleeping surgery staying asleep . I am exhausted after using the bathroom and lose my appetite . I 'm quite nervous all the time ."
4534,Dengue,The muscle itching I have been experiencing are severe and feels like a constant ache . There is red spots all over my body and the pain is causing me a lot of discomfort .
4535,Impetigo,"I 'm running a red temperature . Near my nose . high sores are forming . The lesions are painful , and yellow rust-colored fluid is oozing from them ,"
4536,drug reaction,"been have headaches and migraines , have been having difficulty sleeping . I have Sometimes having muscle twitching and tremors . I I get lightheaded"
4537,Chicken pox,"I have swollen lymph nodes and red spots all feel my body , and they are causing of . I also have a mild fever and over tired most discomfort the time ."
4538,Impetigo,"I believe I have some skin disease . There are yellow on my face and small sores near my ooze . The sores have become red , and painful and some kind of a rashes nose discharges from them ."
4539,Migraine,"I have been feeling overly hungry , even after wipe out , and have had a stiff neck ."
4540,Impetigo,I have noticed that the sores are subscribe longer to heal and are more prone to infection . The sore on my face are swollen and tender to the touch and very uncomfortable to handle .
4541,urinary tract infection,"My stomach hurts , and I frequently acquire a temperature . I experience sudden , to urinate . The discomfort is virtually and frequently worse . My pee nearly always smells bad ."
4542,Arthritis,"I 've been experiencing stiffness and weakness in my neck muscles late . Since my joints have grownup , it 's heavy on behalf of Pine Tree State to run whereas not getting loaded . additionally , walking has been terribly uncomfortable ."
4543,Dimorphic Hemorrhoids,I 've having a lot of trouble going to bathroom lately . It 's been really painful and I 've been pain in my anus . My has also bloody and my anus has really irritated .
4544,Psoriasis,"The rash on my skin has spread to other parts of my body, including my chest and abdomen. It is itchy and uncomfortable, and it is often worse at night. I am also facing skin peeling."
4545,gastroesophageal reflux disease,I often feel sick after eating severe puke up the entire meal get I constantly . excruciating acid reflux and and stomach pain .
4546,Impetigo,"I have a high fever every night and developed sore on my face , particularly near my nose . I have noticed that the sores are taking longer to heal and are Thomas More prone to infection ."
4547,Typhoid,There is a discrete pain in my abdominal part . I am not sure enough what it is . I am also going through constant vomiting and feel nauseous .
4548,peptic ulcer disease,"Bending down or reclining down feel makes my get only more . I have pain after eating some foods , such as hot or acidic food . I occasionally stomach loose stools as a result of this ."
4549,Cervical spondylosis,"Back pain , a hover cough , and muscle weakness have been bothering me . I have way out with dizziness and losing my equilibrium , and my neck hurts ."
4550,gastroesophageal reflux disease,"I regularly wake up with a scratchy voice or antiophthalmic factor sore throat . My throat is constantly irritated , and I have horrible breathing place . I frequently throw up ."
4551,Dengue,with have developed rashes on my body . I am also experiencing high fever along I chills and headache . My joints and back hurt and eyes is a strange pain in the back of my there .
4552,Varicose Veins,"Recently, my calves have been cramping up frequently, especially when I am walking or standing for long periods of time. Also, the veins are very noticeable."
4553,Dengue,The nausea I have been is accompanied by loss of appetite and feeling of unease . There is a pain in my back and muscles pain .
4554,drug reaction,"my my skin starts to flake begin from my rashes . I 'm more prone to becoming sick as a result . On occasion , Sometimes hands begin to quiver and I off to tremble ."
4555,Jaundice,"I have been experiencing intense itching, vomiting, and fatigue. I have also lost weight and have a high fever. My skin has turned yellow and my urine is dark. I have also been experiencing abdominal pain."
4556,diabetes,"I get skin irritations and rashes, especially in my skin's crevices. Cuts and bruises on my skin also take a while to heal."
4557,diabetes,My wound is healing more slowly these days. My feet and hands are tingling and becoming numb. I feel really fragile.
4558,peptic ulcer disease,"Due to a stomach discomfort , I have exhausted sleeping the staying asleep . I am problems after using the bathroom and lose my appetite . I 'm quite nervous all or time ."
4559,Dengue,"I have been nauseous and have a constant to vomit . I get high fever and chills every night and feel of this . Also , I I have lost my appetite ."
4560,Malaria,"I 'm and itching intense from , chills , vomiting , suffering a high fever . I 've also been sweating a lot and have a headache . Nausea and muscle pain have also been bothering me ."
4561,Malaria,"I've been experiencing a lot of scratching, chills, vomiting, and a fever. I also have a headache and am perspiring a lot. Additionally hurting me have been nausea and muscle soreness."
4562,diabetes,"My emotions change be and I have difficulties focusing . At times , my tasks might , cloudy and hazy , making it challenging for me to do even simple mind ."
4563,Jaundice,"I 've . experiencing intense and , nausea , itchiness exhaustion . I also had a high fever and lost weight . Both my skin and my urine have become yellow been Additionally , my stomach hurts ."
4564,Impetigo,"I 've had rashes on my face . I 'm developing little sores around my nose , and a yellow ooze is oozing them . The lesions have become even more painful"
4565,Impetigo,"single feel iodin have a skin condition . My face has rashes and little blisters around my nose . The wounds have turned red and painful , and a yellow liquid is oozing from them ."
4566,allergy,"I 'm dizzy , nauseated , and shaky I 'm having trouble breathing since my throat is swollen . On occasion , throughout the night , my chest hurts and I feel"
4567,Impetigo,"unity 've acquired skin rashes with blistering sores . The blistering sores are fluid-filled , elevated lesions that are unpleasant to touch . I 'm also hightail it a high fever ."
4568,Dimorphic Hemorrhoids,"I 've been experiencing a lot of gut movement come forth recently . It 's difficult to go , and it hurts when I do . My anus is quite painful , and it has been bleeding whenever I go . It 's excruciatingly painful , and I 'm quite uneasy ."
4569,Bronchial Asthma,"I 've cost struggling with a persistent cough , breathing result , and exhaustion . I 've been coughing up a lot of thick , mucoid sputum and have a high fever . All of this has been really tiring and exhausting , and right now I 'm feeling rather ill ."
4570,Impetigo,"I feel I have a skin condition . My face has rashes and little blisters around my poke . The wounds have turned red and painful , and deoxyadenosine monophosphate yellow liquid is oozing from them ."
4571,Migraine,"I have been experiencing a , indigestion , as headaches , as well and blurred and distorted vision , excessive hunger , acidity stiff neck , depression , irritability , and visual disturbance"
4572,Chicken pox,I have swollen red lymph nodes on my arms and legs itch when I touch them . I 'm also suffering a terrible headache and a mild fever I do n't feel like anything and lost my appetite .
4573,Migraine,"Acidity and indigestion are among the stiff problems I 've been having , along with regular headaches , blurred vision , increased hunger , , neck , sadness , impatience digestive and visual disruption ."
4574,Pneumonia,"I 'm having a lot of trouble breathing and am really uneasy . I 'm feeling unwell and am perspiring a lot . My chest hurts and atomic number 53 have a lot of mucus in my throat . My philia is racing , and the hue of the mucus I 'm coughing up is off ."
4575,peptic ulcer disease,"My bloody stools have cause me to lose iron and bloos , among former things . I now have anaemia from this , and I generally feel quite weak ."
4576,diabetes,"I struggle to focus and have emotional swings . At times , me head seems cloudy and foggy , making it challenging for my to do even simple tasks ."
4577,Chicken pox,"I have lost my completely ca seem eat anything I feel like vomiting and feel . noticed rashes on my skin , which is concerning me ."
4578,peptic ulcer disease,"Both my appetite and ongoing hunger are fierce. There are times when my stomach hurts and cramps. Following a meal, I have very painful gas and bloating."
4579,peptic ulcer disease,I have a strong appetite and am constantly athirst . My stomach occasionally hurt and cramps . I have really painful gas and bloating after eating .
4580,allergy,I have sore throat and I am sneezing all the . Sometimes I have on my face like my lips my eyes . I just cant stop sneezing once I start sneezing
4581,Dimorphic Hemorrhoids,"late , I 've been having a lot of difficulty using the restroom . My bowel movements have been extremely uncomfortable and difficult for me to have . My anus has been quite an inflamed , and my stool has been extremely bloody ."
4582,Varicose Veins,The veins on my have young are very prominent and are causing me a lot of discomforts . They are tumefy and protrude from my skin .
4583,Arthritis,"Recently , my muscles have felt quite weak , and have my has been really tight . I neck swollen joints , making it difficult for me to move . Walking has also been painful ."
4584,drug reaction,"I have a metallic taste in my mouth , and also have a sense of change of taste and smell . Sometimes get selfsame unbearable joint nuisance and muscle pain"
4585,Dimorphic Hemorrhoids,"I 've been experiencing a lot of bowel issues recently . It 's difficult to go , and it hurts when I do . anus is quite painful , and it has been bleeding whenever I go . It 's excruciatingly painful , and I quite uneasy ."
4586,Fungal infection,"I been itching a lot , and it 's been accompanied a rash that looks to be getting worse over time . There are some patches of skin that are colours from rest of the , as well as lumps that resemble little nodes"
4587,Cervical spondylosis,"I have been skin with back pain , a productive cough , and weakness in my muscles . My neck is afflictive and I have had problems with dizziness and unsteady balance ."
4588,Psoriasis,"There is strange pain in I joints . Also , I have noticed strange peeling of skin in different parts of my body is my am afraid there . something wrong going on with my body ."
4589,Bronchial Asthma,"mummy , Dad , I 've been feeling really tired and weak late , and I 've had this cough that just wo n't go away . It 's been hard for me to catch my breath , and my fever has been really high . When I cough , I 've been producing a lot of mucus ."
4590,Dengue,"I am experiencing very high fever can ’ every night . It is really concerning me . Moreover , I don ’ t feel like eating anything and my back , arms , legs pain a lot . There is a strange pain behing my eyes . I and chills t do any physical activities ."
4591,Typhoid,"I 've been experiencing high , especially at night It 's been really uncomfortable . There is mild headache along with constipation and diarrhea ."
4592,diabetes,My wound is healing more slowly these days . My and hands are tingling and becoming numb . I feel really fragile .
4593,Psoriasis,"The skin on my genitals and . It is often , burning , and uncomfortable . There are rashes on different parts of the body too ."
4594,Typhoid,"I 've been suffering from constipation and mild discomfort , which has been really . uncomfortable Last night , I had a stomach fever too ."
4595,Psoriasis,"My genital skin is red irritated . It is frequently , burning , and unpleasant . There are rashes various places the body . Also have a strange pain in my ."
4596,peptic ulcer disease,"at occasionally have burning in my upper abdomen throughout the day or I night . I regularly get severe heartburn , indigestion , and . nausea"
4597,Common Cold,"I 've been quite exhausted and ill. My throat has cost quite painful , and I 've had a fairly nasty cough . I 've got a raft of chills and a pretty high temperature . Simply put , I feel really run down and feeble ."
4598,Varicose Veins,The skin on my calves has become inflamed and red. My legs hurt if I try to run or do any physical activities.
4599,Chicken pox,"The high fever , swollen are nodes and headache lymph causing me . lot of trouble . I do n't feel like eating anything and feel weak and fatigued a It 's hard for me to concentrate on my daily life ."
4600,Cervical spondylosis,"Back ache a chronic cough , and limb weakness have been bothering me . I have troubles with disorientation and balance , and my neck hurts ."
4601,Impetigo,"I 'm running a high temperature . I 've developed amp rash on my face , neck , and arms . The rash consists of painful red lesions . My health is deoxyadenosine monophosphate concern for me ."
4602,Cervical spondylosis,"I 've been battling with back pain , deoxyadenosine monophosphate dry cough , and limb weakness . I 've been feeling dizzy and unstable on my metrical foot , and my neck hurts ."
4603,Dengue,I have been experiencing a severe headache that is accompanied past pain behind my eyeball . I have lost my apetite and experience chills every night .
4604,Psoriasis,"My skin is peeling in places , especially on my knees , , and arms . This peeling is often accompanied by a painful or . I am also developing small dents my nails , which is really concerning ."
4605,Pneumonia,"I've been having chills and feeling really worn out, and this cough won't go away. My chest hurts when I cough, and my heart is racing. The mucus I'm bringing up is a gross brownish color."
4606,Acne,I 've been having a very unhealthy rash on my skin latterly . It 's filled with pus-filled pimples and blackheads . My skin has additionally been scurring heaps .
4607,Dimorphic Hemorrhoids,"late I 've been really constipated , and it 's be really painful when I do go to the bathroom . I 've also noticed some blood in my stool , and my anus has been really irritated ."
4608,Arthritis,"My muscles area unit quite weak , terribly my neck has been and stiff . My joints behalf swollen , making it hard on have of Maine to steer regarding whereas not feeling stiff . Walking has put together been terribly uncomfortable ."
4609,Arthritis,I 've been feeling really in my and my neck been really stiff . My have been swelling up and I 've been having a stiffness when move around It 's also been really painful to walk .
4610,Impetigo,"ab initio , I developed small red sores near my nose and neck . Now , I am having a high febrility and the sores have become more painful and inflamed over the past few days ."
4611,Fungal infection,"I 've been itching and have rashy patches all o'er my skin recently . There are also some part that do n't appear to be the regular tone of my skin , and I 've experienced some painful bumps ."
4612,diabetes,regularly experience these intense urges and want to urinate . I drowsy and lost . I 've also significantly lost my
4613,Dimorphic Hemorrhoids,"I 've been having constipation motions that hurt recently . When I go , my anus bleeds and is really uncomfortable . I 'm in a lot of discomfort it hurts extremely bad ."
4614,Varicose Veins,"The veins Hoosier State my calves are protruding out quite unusually . one am worried about it . Also , I am overweight and I believe this is the reason behind all of this ."
4615,Dimorphic Hemorrhoids,"I 've finding it challenging to use the restroom . Going has been quite difficult , and it aches when I When , my anus bleeds and really uncomfortable . I 'm in lot discomfort and it hurts extremely ."
4616,Bronchial Asthma,"I 've been coughing nonstop for days , and I also ingest respiratory issues . My fever is through the cap , and I 'm so weak and worn out . All of these symptoms have been really challenging for me to control ,"
4617,Impetigo,"I 'm running a high oozing . Near my nose , red sores are forming . The painful are lesions , and yellow rust-colored fluid is temperature from them ."
4618,gastroesophageal reflux disease,"I have a feeling of food or acid backing up into my throat . I chest pain which gets worse get I lie down . I if frequent heartburn or indigestion , after eating food out vomit it and"
4619,Pneumonia,"I 've been having chills and feeling exhausted , and I ca n't seem to shake this cough . My chest hurts when I cough , and my heart feels like it 's going a million naut mi an hour . The phlegm I 'm coughing up is a dirty rust colorise ."
4620,Jaundice,"I've been feeling extremely scratchy, sick, and worn out. In addition, I've lost weight and have a temperature. My urine is dark, and my skin has turned yellow. Additionally, I've been having stomach pain."
4621,Acne,"I woke rash today to find that I with a major up all over my body . There are lots of pimples filled had pus and blackheads everywhere , and my skin has been scurrying a lot ."
4622,Bronchial Asthma,"and , I 've had high dry cough , breathing difficulties , as well as a a fever . a lot of mucous is being produced , Hey I feel incredibly weak and tired . ''"
4623,Arthritis,"My musculus have been quite weak , and my neck has been really corpse . My joints have swollen , making it difficult for me to move without becoming stiff . Walking has been quite uncomfortable as well ."
4624,Dimorphic Hemorrhoids,"I 've been finding it challenging to use the , aches Going has been quite difficult , and it . when I do . When I go restroom my anus bleeds and is really uncomfortable . I 'm in a lot of discomfort and it hurts extremely bad ."
4625,drug reaction,"I 'm losing hair , and my hair 's texture has considerably altered . My dandruff is becoming worse , and my dry , itchy scalp . My skin is getting quite ironical as intimately ."
4626,Acne,I 've recently been dealing with an itching rash on my skin . It 's report in pus-filled pimples and blackhead . My skin has also been quite sensitive .
4627,Malaria,"I been experiencing severe itching , chills vomiting , and a high fever . I 'm also sweating a lot a headache . feel nauseous and my muscles are really sore"
4628,Psoriasis,"My skin is breaking out in rashes. When I scratch or rub the rash, it frequently bleeds. In addition, I've observed little dents in my nails. There is a noticeable inflammation in my nails."
4629,Bronchial Asthma,"Recently , I have had a number of concerning symptoms , including a dry cough , impaired breathing , a high fever , and a lot of mucus . I also feel weak and tired ."
4630,Impetigo,"I 'm running a high temperature . Near my nose , red sores are forming . The lesions represent painful , and yellow rust-colored fluid is ooze from them ."
4631,allergy,"I frequently exhaustion a terrible taste in my mouth , and throat itchiness . My muscles are also burning and uncomfortable . Sometimes I have cramps all throughout my body ."
4632,Common Cold,I 've been feeling genuinely exhausted and sick to my stomach . I 've had ampere really bad cough and my throat has hurt a lot . I 've experienced substantial sinus pressure and a congested nose . I 'm really unpleasant and worn out .
4633,Malaria,"I 've been experiencing severe itching , chills , vomiting , and a high fever . I 'm besides sweating a heap and have a headache . Nausea and muscle pain have been causing me a lot of discomfort ."
4634,Typhoid,"I 've been diarrhoea and loose , many a day . I 've lost my appetite and am always sick . 'm also a fever . my abdominal part pains a lot . I n't know what the reason behind all of these is"
4635,Arthritis,"Recently , , muscles in my neck have become tight and weak . Since my joints have . the it is difficult for the American government for me to run without becoming stiff matured Walking has also been quite unpleasant ."
4636,Dimorphic Hemorrhoids,"I 've been experiencing a lot of bowel movement issues recently . It 's difficult to go , and it hurts when I do . My It is quite painful and and it has been bleeding whenever I go . anus 's excruciatingly painful , , I 'm quite uneasy ."
4637,drug reaction,"struggle to maintain focus , my mental clarity is really poor . I trouble remembering things and frequently ."
4638,Malaria,"I 've had a high temperature , , chills , and intense itching I also have headache and am perspiring a lot . 'm queasy , and muscles hurt a lot ."
4639,Arthritis,"Recently , the muscles Indiana my neck have become tight and weak . Since my joints have matured , it is difficult for the American English government for me to run without becoming stiff . Walking has also been quite unpleasant ."
4640,Acne,I 've been noticing a really nasty rash on my skin lately . It 's covered in blackheads and pimples that are pack with pus . My skin has also equal really scurrying .
4641,drug reaction,I have experinenced significant weight gain and appetite very obese . I have changes and my become in cravings for different foods
4642,Dimorphic Hemorrhoids,"I 've been experiencing a lot uncomfortable bowel movement issues recently . It 's difficult to go , and it hurts when I do . My anus is quite painful , and it has been bleeding whenever I go painful It 's really . and I 'm really of ."
4643,Malaria,"I 've had intense itching , chills , , and a high fever . I 'm also sweating and have a headache Nausea and muscle have also been bothering ."
4644,Cervical spondylosis,"I have been dealing with back pain , a cough that wo n't go away , and weakness my arms and legs . My neck hurts and I have had problems with dizziness and maintaining my balance ."
4645,Chicken pox,"My munition and face have small lymph nodes , which are starting to swell . My day has been made really miserable past the constant itching and pain ."
